transaction_date,value_date,description,ref_no,credit,debit,balance
2025-01-10,2025-01-11,NEFT CR: HDFC UTR1787854736hs21hd RAZORPAY SETTLEMENT REF:pay_FfycfcDcysYyuj,1787854736hs21hd,16546.8,,116546.8
2025-01-13,2025-01-13,NEFT CR: HDFC UTR1787854736ro9x49 RAZORPAY SETTLEMENT REF:pay_p0ymKfbL6o7tdW,1787854736ro9x49,53085.61,,169632.41
2025-01-16,2025-01-18,NEFT CR: HDFC UTR1787854736e226pa RAZORPAY SETTLEMENT REF:pay_OJMlvoKveuvb5i,1787854736e226pa,43791.1,,213423.51
2025-01-28,2025-01-30,NEFT CR: HDFC UTR1787854736yzqii4 RAZORPAY SETTLEMENT REF:pay_Rso42UkIV7rYk6,1787854736yzqii4,36817.75,,250241.26
2025-02-02,2025-02-02,NEFT CR: HDFC UTR1787854736usozdu RAZORPAY SETTLEMENT REF:pay_xypztqgoaWWLN6,1787854736usozdu,16894.84,,267136.1
2025-02-03,2025-02-05,NEFT CR: HDFC UTR1787854736tixc7u RAZORPAY SETTLEMENT REF:pay_IE0Gvz2CUvIXKz,1787854736tixc7u,19027.84,,286163.94
2025-02-04,2025-02-05,NEFT CR: HDFC UTR1787854736ezw9he RAZORPAY SETTLEMENT REF:pay_BTJqZw52tDIMUp,1787854736ezw9he,25044.22,,311208.16
2025-02-04,2025-02-05,NEFT CR: HDFC UTR1787854736d4r9v4 RAZORPAY SETTLEMENT REF:pay_K4VVvsnqlLPiN8,1787854736d4r9v4,3645.45,,314853.61
2025-02-04,2025-02-05,NEFT CR: HDFC UTR1787854736spo3zd RAZORPAY SETTLEMENT REF:pay_qedi5sRjh3YVvJ,1787854736spo3zd,23775.91,,338629.52
2025-02-08,2025-02-10,NEFT CR: HDFC UTR1787854736w8l85j RAZORPAY SETTLEMENT REF:pay_EbXhzDXlCExkpN,1787854736w8l85j,51468.57,,390098.09
2025-02-11,2025-02-12,NEFT CR: HDFC UTR17878547363gu7gk RAZORPAY SETTLEMENT REF:pay_t2ozm6RqNbOW8W,17878547363gu7gk,5450.77,,395548.86
2025-02-20,2025-02-21,NEFT CR: HDFC UTR1787854736kb9oi0 RAZORPAY SETTLEMENT REF:pay_qKQQJKRSwW6sem,1787854736kb9oi0,52207.6,,447756.46
2025-02-20,2025-02-21,NEFT CR: HDFC UTR1787854736na31xb RAZORPAY SETTLEMENT REF:pay_TNLEfZhFNNUWNu,1787854736na31xb,29741.35,,477497.81
2025-02-21,2025-02-22,NEFT CR: HDFC UTR17878547368yc8gz RAZORPAY SETTLEMENT REF:pay_baKZ2VXzwjvNbx,17878547368yc8gz,22671.24,,500169.05
2025-02-21,2025-02-23,NEFT CR: HDFC UTR178785473625wm72 RAZORPAY SETTLEMENT REF:pay_1kVK3uqRXKj71o,178785473625wm72,14027.41,,514196.46
2025-02-26,2025-02-26,NEFT CR: HDFC UTR1787854736na9zn9 RAZORPAY SETTLEMENT REF:pay_TP5RbujpUeUeVQ,1787854736na9zn9,23320.2,,537516.66
2025-03-03,2025-03-03,NEFT CR: HDFC UTR1787854736z0ifrm RAZORPAY SETTLEMENT REF:pay_0yG7nzrbt7Qyhd,1787854736z0ifrm,1488.86,,539005.52
2025-03-03,2025-03-04,NEFT CR: HDFC UTR1787854736aoaxqo RAZORPAY SETTLEMENT REF:pay_qv7vBEQCDwfmfZ,1787854736aoaxqo,44969.68,,583975.2
2025-03-03,2025-03-05,NEFT CR: HDFC UTR1787854736gh7idu RAZORPAY SETTLEMENT REF:pay_r1s6nMmSVp8o7f,1787854736gh7idu,38651.91,,622627.11
2025-03-04,2025-03-04,NEFT CR: HDFC UTR1787854736y66p61 RAZORPAY SETTLEMENT REF:pay_Ahcppky6GOB2i4,1787854736y66p61,17590.18,,640217.29
2025-03-06,2025-03-06,NEFT CR: HDFC UTR1787854736agrd1p RAZORPAY SETTLEMENT REF:pay_4yXxbC3Lf6K7hA,1787854736agrd1p,9067.72,,649285.01
2025-03-10,2025-03-10,NEFT CR: HDFC UTR1787854736qfpodp RAZORPAY SETTLEMENT REF:pay_ZiDRIM2gnxx9wW,1787854736qfpodp,22344.17,,671629.18
2025-03-12,2025-03-13,NEFT CR: HDFC UTR1787854736cs4kek RAZORPAY SETTLEMENT REF:pay_Is6CMx2TTYydCo,1787854736cs4kek,9318.47,,680947.65
2025-03-12,2025-03-13,NEFT CR: HDFC UTR1787854736ts1fb2 RAZORPAY SETTLEMENT REF:pay_8IzXnnkQyBD3bH,1787854736ts1fb2,1839.33,,682786.98
2025-03-13,2025-03-14,NEFT CR: HDFC UTR178785473605wnwl RAZORPAY SETTLEMENT REF:pay_e2jdbLD6dyYEnD,178785473605wnwl,51301.13,,734088.11
2025-03-13,2025-03-14,NEFT CR: HDFC UTR1787854736ami0uz RAZORPAY SETTLEMENT REF:pay_cKjyYBqKNLR2Cm,1787854736ami0uz,164.08,,734252.19
2025-03-18,2025-03-20,NEFT CR: HDFC UTR1787854736u8h0im RAZORPAY SETTLEMENT REF:pay_voOt0C5Zz5CzwL,1787854736u8h0im,53613.19,,787865.38
2025-03-18,2025-03-18,NEFT CR: HDFC UTR1787854736lny2sv RAZORPAY SETTLEMENT REF:pay_eGoFRz3Mtmt30n,1787854736lny2sv,3159.96,,791025.34
2025-03-19,2025-03-19,NEFT CR: HDFC UTR1787854736h2ns8j RAZORPAY SETTLEMENT REF:pay_xijOQYnaBphnmu,1787854736h2ns8j,54212.79,,845238.13
2025-03-25,2025-03-26,NEFT CR: HDFC UTR1787854736snffyk RAZORPAY SETTLEMENT REF:pay_SrejPXyYHikhqi,1787854736snffyk,17226.25,,862464.38
2025-03-31,2025-04-02,NEFT CR: HDFC UTR17878547360z1r5f RAZORPAY SETTLEMENT REF:pay_D9sF53grX8FFIy,17878547360z1r5f,47600.99,,910065.37
2025-04-07,2025-04-07,NEFT CR: HDFC UTR1787854736k3omd4 RAZORPAY SETTLEMENT REF:pay_FaclTttHrrK7gw,1787854736k3omd4,20907.99,,930973.36
2025-04-08,2025-04-09,NEFT CR: HDFC UTR1787854736tplc6p RAZORPAY SETTLEMENT REF:pay_HwQ2vByQDsjEcW,1787854736tplc6p,27268.21,,958241.57
2025-04-16,2025-04-16,NEFT CR: HDFC UTR1787854736exggoc RAZORPAY SETTLEMENT REF:pay_SD37eGekg895I1,1787854736exggoc,54372.49,,1012614.06
2025-04-16,2025-04-18,NEFT CR: HDFC UTR1787854736645vdb RAZORPAY SETTLEMENT REF:pay_PAZOV026Ao0tGg,1787854736645vdb,40566.28,,1053180.34
2025-04-18,2025-04-19,NEFT CR: HDFC UTR1787854736fxq7bz RAZORPAY SETTLEMENT REF:pay_QPGRXmP1JUjTve,1787854736fxq7bz,793.09,,1053973.43
2025-04-18,2025-04-18,NEFT CR: HDFC UTR1787854736d4w1ar RAZORPAY SETTLEMENT REF:pay_tvWYjMiEfvR9qH,1787854736d4w1ar,1885.09,,1055858.52
2025-04-19,2025-04-21,NEFT CR: HDFC UTR1787854736m40oey RAZORPAY SETTLEMENT REF:pay_TB6f7NVDe2odh0,1787854736m40oey,17066.16,,1072924.68
2025-04-20,2025-04-21,NEFT CR: HDFC UTR1787854736lsyj4u RAZORPAY SETTLEMENT REF:pay_k4ih9dwWNvtScf,1787854736lsyj4u,51517.44,,1124442.12
2025-04-27,2025-04-27,NEFT CR: HDFC UTR1787854736gk0eey RAZORPAY SETTLEMENT REF:pay_4NLtuu4rrYOTRc,1787854736gk0eey,11586.46,,1136028.58
2025-04-29,2025-05-01,NEFT CR: HDFC UTR1787854736fx5lik RAZORPAY SETTLEMENT REF:pay_cHmBYiBnIcDXNU,1787854736fx5lik,37949.87,,1173978.45
2025-04-29,2025-04-29,NEFT CR: HDFC UTR1787854736wbxanj RAZORPAY SETTLEMENT REF:pay_8vrGKSBUDWaPZq,1787854736wbxanj,33816.75,,1207795.2
2025-04-29,2025-05-01,NEFT CR: HDFC UTR1787854736hfu131 RAZORPAY SETTLEMENT REF:pay_CWs8luwOO7w4Mq,1787854736hfu131,6459.11,,1214254.31
2025-04-29,2025-05-01,NEFT CR: HDFC UTR1787854736nog85d RAZORPAY SETTLEMENT REF:pay_CmzB5Jc9a942S2,1787854736nog85d,17317.49,,1231571.8
2025-04-30,2025-05-01,NEFT CR: HDFC UTR1787854736hi6hab RAZORPAY SETTLEMENT REF:pay_TURfiXyEbjFeT8,1787854736hi6hab,2.08,,1231573.88
2025-04-30,2025-05-01,NEFT CR: HDFC UTR1787854736ht7ehm RAZORPAY SETTLEMENT REF:pay_ZCizx7n3iocVzy,1787854736ht7ehm,2809.42,,1234383.3
2025-05-01,2025-05-01,NEFT CR: HDFC UTR1787854736n5elb4 RAZORPAY SETTLEMENT REF:pay_8TbdnxkVEcCWRn,1787854736n5elb4,36388.17,,1270771.47
2025-05-01,2025-05-02,NEFT CR: HDFC UTR1787854736z27ujd RAZORPAY SETTLEMENT REF:pay_mdosHvNVz7SgrC,1787854736z27ujd,907.49,,1271678.96
2025-05-04,2025-05-06,NEFT CR: HDFC UTR17878547368c0s41 RAZORPAY SETTLEMENT REF:pay_VjLpgW7hwfB2CX,17878547368c0s41,16863.11,,1288542.07
