settlement_utr,credit,invoice_ids
1787601594rpqapx,52918.37,INV-192
17876015947z99ue,52559.85,INV-077
1787601594hfo9mq,5448.94,INV-037
1787601594qpco7p,29788.97,INV-181
1787601594f1s54x,22490.53,INV-143
1787601594yb1bxzp1,11251.22,INV-126
1787601594gr24dkp2,1758.15,INV-126
1787601594741rpw,1490.36,INV-009
17876015948ufj81,17612.63,INV-035
1787601594ajivdt,38683.59,INV-175
1787601594lai3s0p3,32056.48,INV-126
1787601594lic7vp,22168.87,INV-135
1787601594u39yei,51572.74,INV-014
1787601594irdhzvp1,205.72,INV-134
1787601594dibqtgp2,1371.04,INV-134
1787601594m10w6bp3,427.35,INV-134
1787601594owlf70,54250.31,INV-186
1787601594twfh99p1,1590.67,INV-190
17876015940wi14zp3,798.21,INV-190
1787601594ixhh4mp2,761.45,INV-190
1787601594e1v0tl,48129.46,INV-128
1787601594ce0hx8,54690.7,INV-125
1787601594omzfi1,50636.58,INV-097
1787601594qrey32p1,2907.41,INV-094
1787601594ak2rch,37829.0,INV-006
178760159454j3rip2,6511.15,INV-094
1787601594pul37vp3,2114.26,INV-094
17876015942u9cwg,36265.93,INV-050
1787601594ywx6ry,3715.26,INV-171
1787601594hnuvmx,28643.59,INV-079
1787601594mfjryfp1,4133.68,INV-048
1787601594878zejp2,6453.7,INV-048
178760159451ku9lp1,140.86,INV-043
1787601594ywejh0p1,426.06,INV-058
1787601594a0x3wdp2,187.47,INV-058
1787601594jt6hemp3,819.44,INV-058
1787601594xsfe79p2,832.83,INV-043
178760159406eq5tp3,957.13,INV-043
1787601594mlgaol,7190.04,INV-158
1787601594za2tzl,1729.89,INV-177
1787601594vsvmbv,108725.73,"INV-063,INV-020,INV-120,INV-111"
1787601594czh474,8962.09,"INV-010,INV-162"
1787601594j19c5y,53157.78,INV-092
1787601594czh474,60727.31,"INV-010,INV-162"
17876015946ca4y3,49196.14,INV-153
1787601594siwemi,41694.27,INV-170
1787601594ao2jjv,40679.44,INV-152
1787601594naph7k,47769.43,INV-017
1787601594txxl0t,98910.13,"INV-093,INV-084,INV-032,INV-132"
1787601594txxl0t,73473.91,"INV-093,INV-084,INV-032,INV-132"
1787601594aqd4ua,72760.13,"INV-174,INV-168"
1787601594ndxcp9,29048.02,INV-031
17876015940z469v,53574.45,INV-157
1787601594vhd26v,29831.51,INV-062
1787601594y1brcy,46738.81,INV-046
17876015942k5fo5,40902.13,INV-121
1787601594zvnpjo,11508.2,INV-161
17876015946ciz00,16335.94,INV-015
17876015945wtzgu,3085.16,"INV-055,INV-176"
17876015945wtzgu,6420.02,"INV-055,INV-176"
17876015946g80vz,10459.65,INV-145
17876015945wtzgu,1497.24,"INV-055,INV-176"
1787601594yd7715p1,1328.66,INV-071
17876015949spc05p2,801.41,INV-071
1787601594mo47s7,142127.09,"INV-049,INV-066,INV-073,INV-099"
17876015946chb1u,45355.09,INV-018
1787601594sdxm4q,32042.77,INV-042
17876015940atj58,84236.43,"INV-028,INV-081,INV-076"
1787601594ug4bmk,71431.24,"INV-069,INV-083"
1787601594hchtu5,14512.69,INV-147
1787601594qdv0hw,41216.46,INV-001
1787601594ym2ees,34998.64,INV-169
1787601594u9igjw,26925.9,INV-095
1787601594945a2y,29373.17,INV-136
17876015948j96z7,32593.33,INV-144
1787601594wchwku,112554.06,"INV-137,INV-034,INV-088,INV-085"
17876015944ntmeg,46176.4,INV-198
1787601594gkk8c6,10244.66,INV-114
1787601594nj74nc,94895.15,"INV-180,INV-188,INV-141"
1787601594perp89,47885.21,INV-041
17876015944zo65g,52734.63,"INV-154,INV-033,INV-172,INV-166"
17876015944zo65g,51977.92,"INV-154,INV-033,INV-172,INV-166"
1787601594qz2uxa,51889.05,INV-051
1787601594a0uazo,12730.44,INV-078
1787601594cspkx8,13816.3,INV-044
1787601594ptemxk,85006.79,"INV-057,INV-024,INV-109,INV-101"
1787601594wa8nli,92330.17,"INV-008,INV-127,INV-005,INV-060"
1787601594vqf7n0,53277.41,INV-182
17876015947ac0k1,41594.83,INV-133
1787601594qa2y8w,107055.58,"INV-118,INV-151,INV-056,INV-096"
1787601594qa2y8w,4066.72,"INV-118,INV-151,INV-056,INV-096"
1787601594olaqjo,20525.43,INV-195
17876015948mmul2,102785.76,"INV-155,INV-185,INV-123,INV-131"
17876015940z1rcw,22509.53,INV-130
1787601594emt3i3,13200.6,INV-163
17876015944kxgum,167612.02,"INV-191,INV-082,INV-011,INV-080"
1787601594kbhbtx,31250.59,INV-098
1787601594diq23i,73106.82,"INV-040,INV-053,INV-045"
1787601594dnth5z,5054.03,INV-187
17876015942ldbhg,73528.86,"INV-146,INV-108"
1787601594ra680j,50766.75,INV-149
17876015944bw81m,27360.95,INV-194
178760159446avt9,7486.78,"INV-165,INV-117"
1787601594kqkl33,44655.55,INV-115
178760159446avt9,42868.69,"INV-165,INV-117"
1787601594yij2gg,26993.77,INV-104
1787601594j7dsr0,125174.95,"INV-075,INV-087,INV-140,INV-189"
17876015941dmuuh,47485.22,"INV-164,INV-067,INV-102,INV-184"
1787601594j7dsr0,36946.08,"INV-075,INV-087,INV-140,INV-189"
17876015941dmuuh,45383.15,"INV-164,INV-067,INV-102,INV-184"
17876015942fxt6c,38851.57,INV-002
1787601594cqkf19,193.34,"INV-074,INV-129,INV-107"
1787601594j9a0dz,22390.13,INV-086
1787601594cqkf19,138745.6,"INV-074,INV-129,INV-107"
178760159452tjrnp1,17471.36,INV-019
17876015942itlmvp2,1123.98,INV-019
1787601594tx8gug,14514.01,INV-100
178760159415j06sp3,14705.93,INV-019
1787601594y5ihoq,24322.03,INV-072
178760159408vumc,33843.43,INV-047
1787601594r9er8d,39562.36,INV-183
1787601594ombzxsp2,1590.65,INV-068
1787601594hxc9y3,4922.47,"INV-021,INV-199"
1787601594jn5tb2p1,603.0,INV-068
1787601594hxc9y3,19520.86,"INV-021,INV-199"
1787601594hxc9y3,14182.04,"INV-021,INV-199"
1787601594zkslljp3,1276.74,INV-068
1787601594rjkpwd,49566.07,"INV-122,INV-061"
1787601594fexut8,28215.58,INV-167
1787601594up95n3p1,2914.52,INV-065
17876015949anzutp2,47813.75,INV-065
17876015945nmt4gp1,6380.77,INV-070
1787601594x5i1pb,9627.82,"INV-003,INV-193"
178760159424i46qp2,17159.95,INV-070
1787601594x5i1pb,3462.16,"INV-003,INV-193"
1787601594x5i1pb,1400.41,"INV-003,INV-193"
1787601594furk2j,8892.22,INV-159
1787601594gpd4pm,61103.49,"INV-156,INV-138"
1787601594f7ws81,25059.29,INV-059
178760159433ipyd,5827.2,INV-113
1787601594g8olhh,54859.12,INV-038
1787601594p1zpco,53837.92,INV-160
1787601594djbkqd,38171.29,"INV-025,INV-039"
1787601594twejas,79979.7,"INV-029,INV-064"
1787601594cffby9,31406.57,INV-179
1787601594eun07c,54960.81,INV-089
1787601594ut44h3,36572.01,INV-091
1787601594hlzzvu,38392.42,INV-090
1787601594geuea3,7534.08,INV-178
1787601594omg629,20583.87,INV-105
1787601594huqbpx,8402.74,INV-200
178760159427r5b0,52398.71,INV-173
1787601594pn1v5i,44343.07,INV-023
1787601594j3vjwo,54077.8,INV-026
1787601594r2p9zb,42403.15,INV-007
1787601594rcvgrb,26533.35,INV-027
1787601594wiw79c,30955.38,INV-196
1787601594jsjx2q,32362.97,INV-012
178760159449vhwv,21667.33,INV-004
178760159419ia24,1052.0,
1787601594wc4saq,674.0,
1787601594qrtdrnp1,25183.89,INV-103
1787601594htdefop2,25421.82,INV-103
1787601594zy9drj,10521.41,INV-150
17876015947pn767,11975.51,INV-139
1787601594e1fosy,52366.77,INV-148
17876015944p64ac,10125.1,INV-124
17876015946n48hy,13559.26,INV-106
178760159486ytfr,1401.0,
1787601594wikx2o,23490.6,INV-022
1787601594eq3o3j,1125.0,
1787601594ss78of,904.0,
1787601594g3zm48,23773.17,INV-013
1787601594ibuf2y,11158.28,INV-112
17876015949m7fzy,26122.97,INV-119
1787601594g432pf,51082.39,INV-036
1787601594uf9q36,45730.14,INV-030
