invoice_ids,settlement_utr,_original_vendor,_razorpay_vendor,_variance_type,_bank_split_count
INV-171,1787601594ywx6ry,Stripe Payments,STRP,abbr,1
"INV-118,INV-151,INV-056,INV-096",1787601594qa2y8w,Stripe Payments,STRP,abbr,2
INV-198,17876015944ntmeg,Stripe Payments,Stripe Payments,exact,1
INV-175,1787601594ajivdt,Stripe Payments,STRP,abbr,1
"INV-180,INV-188,INV-141",1787601594nj74nc,Stripe Payments,Stripe Payments,exact,1
INV-043,178760159451ku9lp1,Stripe Payments,STRP,abbr,1
INV-043,1787601594xsfe79p2,Stripe Payments,Stripe Payments,exact,1
INV-043,178760159406eq5tp3,Stripe Payments,Stripe Payments,exact,1
INV-113,178760159433ipyd,Stripe Payments,Stripe Payments,exact,1
INV-001,1787601594qdv0hw,Stripe Payments,Stripe Payments,exact,1
INV-139,17876015947pn767,Amazon Web Services,AMAZON,short,1
INV-002,17876015942fxt6c,Amazon Web Services,Amazon Web Services,exact,1
INV-161,1787601594zvnpjo,Amazon Web Services,Amzn,abbr,1
INV-071,1787601594yd7715p1,Amazon Web Services,AMAZON,short,1
INV-071,17876015949spc05p2,Amazon Web Services,AMAZON,short,1
INV-169,1787601594ym2ees,Amazon Web Services,Amzn,abbr,1
INV-158,1787601594mlgaol,Amazon Web Services,Amzn,abbr,1
INV-148,1787601594e1fosy,Amazon Web Services,Amzn,abbr,1
"INV-146,INV-108",17876015942ldbhg,Amazon Web Services,AMAZON,short,1
INV-196,1787601594wiw79c,Zoho Corporation,ZOHO,abbr,1
INV-042,1787601594sdxm4q,Zoho Corporation,Zoho Corporation,exact,1
INV-104,1787601594yij2gg,Zoho Corporation,ZOHO,abbr,1
INV-106,17876015946n48hy,Zoho Corporation,ZOHO,short,1
INV-194,17876015944bw81m,Zoho Corporation,ZOHO,short,1
INV-089,1787601594eun07c,Zoho Corporation,ZOHO,abbr,1
"INV-003,INV-193",1787601594x5i1pb,Zoho Corporation,ZOHO,abbr,3
INV-133,17876015947ac0k1,Zoho Corporation,Zoho Corporation,exact,1
INV-012,1787601594jsjx2q,Zoho Corporation,ZOHO,abbr,1
INV-041,1787601594perp89,Zoho Corporation,ZOHO,short,1
INV-114,1787601594gkk8c6,Salesforce.com,SALESFORCE,short,1
INV-004,178760159449vhwv,Salesforce.com,SFDC,abbr,1
INV-079,1787601594hnuvmx,Salesforce.com,SFDC,abbr,1
INV-157,17876015940z469v,Salesforce.com,SALESFORCE,short,1
INV-095,1787601594u9igjw,Salesforce.com,SFDC,abbr,1
INV-130,17876015940z1rcw,Salesforce.com,Salesforce.com,exact,1
INV-163,1787601594emt3i3,Salesforce.com,SFDC,abbr,1
INV-183,1787601594r9er8d,Salesforce.com,Salesforce.com,exact,1
INV-147,1787601594hchtu5,Salesforce.com,SFDC,abbr,1
"INV-040,INV-053,INV-045",1787601594diq23i,Salesforce.com,SFDC,abbr,1
INV-068,1787601594jn5tb2p1,Salesforce.com,Salesforce.com,exact,1
INV-068,1787601594ombzxsp2,Salesforce.com,SFDC,abbr,1
INV-068,1787601594zkslljp3,Salesforce.com,SFDC,abbr,1
INV-135,1787601594lic7vp,Shopify Inc,Shopify Inc,exact,1
INV-160,1787601594p1zpco,Shopify Inc,SHOP,abbr,1
INV-015,17876015946ciz00,Shopify Inc,SHOPIFY,short,1
INV-092,1787601594j19c5y,Shopify Inc,Shopify Inc,exact,1
INV-177,1787601594za2tzl,Shopify Inc,Shopify Inc,exact,1
INV-200,1787601594huqbpx,Shopify Inc,SHOP,abbr,1
INV-017,1787601594naph7k,Shopify Inc,SHOP,abbr,1
