entity_id,type,amount,currency,fee,tax,credit,debit,settlement_id,settlement_utr,settled_at,created_at,description,order_id,method,card_network
pay_MIs40UBk4w017X,payment,1229344,INR,26642,4796,1197906,0,setl_xdhfYqK8rcqANk,1787854736lwjtiq,1785689358,1785522600,Amazon Web Services - Settlement,order_TUtFkIECbLgBFs,card,RUPay
pay_YURc2wmgaZJkv6,payment,5382349,INR,105238,18943,5258168,0,setl_xdhfYqK8rcqANk,1787854736lwjtiq,1785689358,1785522600,Amazon Web Services - Settlement,order_iL92eTeFONgA4M,card,MC
pay_Pd0EZnMrePoAuv,payment,4219684,INR,76367,13746,4129571,0,setl_VLaZuWYbj8qysx,1787854736t4h20r,1757357476,1757269800,Stripe Payments - Settlement,order_TUtFb4m9a9I11D,card,MC
pay_xrci4HIcgiTuby,payment,3965685,INR,74854,13474,3877357,0,setl_Ke90gswSijYqDy,1787854736rwqmmu,1765857179,1765737000,Amazon Web Services - Settlement,order_TUtFbANjpaGMkM,card,RUPay
pay_h3udQPnvgmRERQ,payment,366742,INR,7820,1408,357514,0,setl_VZVqljoh8RUfwb,1787854736cwq85x,1755931622,1755801000,Zoho Corporation - Settlement,order_TUtFbILA152eZZ,card,VISA
pay_JXJNZUcDzYv6B2,payment,2214178,INR,40569,7302,2166307,0,setl_alZ4EVToslY3w6,17878547360sqg4e,1785034953,1784917800,Salesforce.com - Settlement,order_TUtFbPcYGeU34K,card,RUPay
pay_cHmBYiBnIcDXNU,payment,3880431,INR,72410,13034,3794987,0,setl_p6rEKGD2iBYvFQ,1787854736fx5lik,1745947114,1745778600,Twilio Inc - Settlement,order_TUtFbZe082W6p7,card,VISA
pay_zPFBh9Vowou6MB,payment,862296,INR,18115,3261,840920,0,setl_HgKCW41c15iI6h,1787854736vq05px,1783518964,1783362600,Shopify Inc - Settlement,order_TUtFbeMSm9vvMp,card,MC
pay_piNrvKluHy7GBT,payment,3491182,INR,64604,11629,3414949,0,setl_TVhxbWQSAy0VdA,178785473678rapk,1783552690,1783435985,Shopify Inc - Settlement,order_TUtFbeMSm9vvMp,card,RUPay
pay_sEqmGv0lH8wVaW,payment,5356156,INR,104909,18884,5232363,0,setl_xhL2bPsozNEmgx,1787854736wyjxtj,1750382441,1750271400,Shopify Inc - Settlement,order_gl75uqsYpX3bPD,card,RUPay
pay_0yG7nzrbt7Qyhd,payment,152368,INR,2951,531,148886,0,setl_0LRnmQmLBDhLGQ,1787854736z0ifrm,1740981038,1740853800,Freshworks Inc - Settlement,order_EBUfRehs2jPdZF,card,VISA
pay_TP5RbujpUeUeVQ,payment,2389454,INR,48673,8761,2332020,0,setl_weXrBEuJQYhL3P,1787854736na9zn9,1740540596,1740421800,Atlassian - Settlement,order_DtxGLhILc2Ey1G,card,VISA
pay_RA6FsevqoexFNq,payment,1030488,INR,21439,3859,1005190,0,setl_tCcvg8dqTUnC6g,1787854736jwh55h,1778711801,1778610600,Microsoft Azure - Settlement,order_NYDX9Qwca79isJ,card,VISA
pay_dgauUrQPHLHhvL,payment,3320501,INR,67493,12149,3240859,0,setl_OaAxkYP8kqqJvP,1787854736rym81c,1783754798,1783621800,Zoho Corporation - Settlement,order_uDkf0J7ELkpOH3,card,MC
pay_s8gRGMOLAhR8ir,payment,2434728,INR,48541,8737,2377450,0,setl_nrxHO8wuxbLqWI,17878547366rpkzg,1787361461,1787250600,Google Cloud Platform - Settlement,order_5MsOYpSTuEc99E,card,MC
pay_e2jdbLD6dyYEnD,payment,5263485,INR,113027,20345,5130113,0,setl_hUd1l1Jgbyhcwf,178785473605wnwl,1741812502,1741717800,Twilio Inc - Settlement,order_WJzrl9oAySp6IH,card,MC
pay_FPiZkmwX4SkajD,payment,1680278,INR,36624,6592,1637062,0,setl_ohYgeimUnGgEzI,17878547365hrdu4,1754418435,1754245800,Shopify Inc - Settlement,order_MnQe40FaRAvnQt,card,RUPay
pay_MNoJKEAbkSOrrc,payment,529759,INR,11544,2078,516137,0,setl_emkDNsA5o5zdnW,17878547360632cw,1748958339,1748802600,Amazon Web Services - Settlement,order_TUtFcAa67XJssR,card,RUPay
pay_wmo5aho4zEKTuj,payment,4884570,INR,105974,19075,4759521,0,setl_CES67GsgLgPmLu,1787854736odwmqx,1751408244,1751308200,Shopify Inc - Settlement,order_TUtFcGMnnRuHme,card,VISA
pay_qr6feECaTPF7zj,payment,4676099,INR,86496,15569,4574034,0,setl_KLYUJ9bVT9UXva,17878547360vuh17,1755920703,1755801000,Atlassian - Settlement,order_TUtFcM84vZF5gy,card,MC
pay_epYvCFPHv1zA1c,payment,4099001,INR,80531,14496,4003974,0,setl_Wc7ACRBI3A9NTv,1787854736737suu,1762293358,1762194600,Cloudflare Inc - Settlement,order_TUtFcVUiE5F37O,card,MC
pay_N0H6oJ5SrZddcI,payment,2407987,INR,47274,8509,2352204,0,setl_CWIWkOyFY4tsxK,17878547363yu6vk,1786721334,1786559400,Microsoft Azure - Settlement,order_TUtFcehJJUiB67,card,MC
pay_21RwZ5fyRSk9eJ,payment,4535728,INR,90864,16356,4428508,0,setl_Xw5U2a5Hvu05nn,1787854736bslulz,1782691479,1782585000,Dropbox Inc - Settlement,order_63lsfzh3udQPnv,card,RUPay
pay_ihcTLrjOwCuryX,payment,2559450,INR,49603,8929,2500918,0,setl_DtYbkfNRYIFjDY,1787854736ds1eeu,1761048944,1760898600,Freshworks Inc - Settlement,order_QThIOrrDZhZMa4,card,RUPay
pay_eCfk12bgcsZoJd,payment,5525228,INR,121131,21804,5382293,0,setl_Yji9gPQaqjGZWL,1787854736mx1gm3,1782988561,1782844200,Dropbox Inc - Settlement,order_4kpFa1LQUcU2R6,card,VISA
pay_YEUph7m3ehmOqR,payment,2717566,INR,55691,10024,2651851,0,setl_mb5OqJtFtPmJzR,1787854736m2kql0,1783476770,1783362600,Twilio Inc - Settlement,order_9Vowou6MBJHpiN,card,MC
pay_8vrGKSBUDWaPZq,payment,3456567,INR,63468,11424,3381675,0,setl_MgQdtIrBkpCKRw,1787854736wbxanj,1745912214,1745778600,Atlassian - Settlement,order_7GBTp7YsEqmGv0,card,MC
pay_7qcS90GXWSrBzY,payment,4685450,INR,89945,16190,4579315,0,setl_1B1oOX8GT1gLfc,17878547367aitmo,1788135178,1788028200,Dropbox Inc - Settlement,order_TP5RbujpUeUeVQ,card,MC
pay_zdyuVH7I71s87x,payment,2104302,INR,40040,7207,2057055,0,setl_BqWS98RDPY9966,1787854736imoe0s,1762534074,1762367400,DigitalOcean - Settlement,order_rHCDS6nuGARdV7,card,VISA
pay_Ahcppky6GOB2i4,payment,1804069,INR,38179,6872,1759018,0,setl_2qZjaTlbIokqMI,1787854736y66p61,1741112613,1740940200,DigitalOcean - Settlement,order_TUtFdNu8w45h6M,card,MC
